Community,Id,Request,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Normalized Score
Wikipedia,469273,is there any reason you keep moving boldface marks? itn is on my watchlist and you seem to do this quite frequently&#44 yet&#44 as far as i can see&#44 it makes no difference&#44 so i feel compelled to ask if there's any particular reason?,1,11,17,11,17,A1J7EVLCZZQSEM,A16PRU8T6NZLN5,A1TMK6G1BLKVS2,A3EJ5TT2ZGBIDA,AEWF3138PFWEN,-0.66616483748924826
Wikipedia,131592,come on mohrflies&#44 i don\xb4t understand why you insist in these edits: &lt;url&gt;? why \&#34yugoslav\&#34 when absolutely no one uses it?,6,1,1,3,5,A28TXBSZPWMEU9,A28K8ST8B2XU0N,A28ZB4ZB13BWAI,A29B522D0BX6HN,AD317NO9623GZ,-2.0126241718568201
Wikipedia,625709,i asked you a question. be educated and please respond: what does &lt;url&gt; has  to do with &lt;url&gt;?,5,1,8,5,1,A233ONYNWKDIYF,A1GWSZ4I2QGCNJ,AZ1RJVNOZFIWV,A2ULMYRKQMNNFG,AEWF3138PFWEN,-2.2827966080454205
Wikipedia,51065,\&#34book\&#34 in question is a4 or thereabouts&#44 and runs to a grand total of 32 pages including covers. it does state that it is a journal of sias&#44 no 18 \/ 1988. there's not much to choose between the two templates though&#44 is there?,9,13,13,13,17,A233ONYNWKDIYF,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A2QH1BQA6GR48O,A2AMGE57IJVSHF,-0.18122660065545473
Wikipedia,624380,this is just too confusing...how can a team be an affiliate of the nhl team but not the ahl team?  especially in a aa hockey league?,13,14,11,13,18,A2WKPCZU4U110T,AYG3MF094634L,A3LXBP8T6JMY9B,A1RT9SQ9D9DLOV,A2BE71BN177IH3,-0.23155854560475381
Wikipedia,618785,yep&#44 i'm definitely free for the whole break. had fun in your trip?,13,17,21,17,17,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A1BJTTNDDFZ3ZP,A2ULMYRKQMNNFG,A3454T4PU9GJM0,0.577964038299839
Wikipedia,625703,if we are going to work together effectively we need to get past these personal issues. might you consider mediation?,21,13,19,13,17,A3G9MSZVWB7W42,A36UK50UE5YFVZ,A1JMINVUZ2AOZR,A3CA5S8GR8TZ1U,A38N58BSMTA0BE,0.21899824192980288
Wikipedia,625700,well&#44 welcome&#44 and thanks for helping out&#44 as you can see it's greatly needed.  do you have &lt;url&gt; yet?,25,21,17,17,17,ANGX5PAAYGL9P,A2YFPO0N4GIS25,A1BJTTNDDFZ3ZP,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,1.1484389877122905
Wikipedia,102052,what you linked to looks good&#44 but what was i supposed to compare it with again? got a link?,9,13,19,16,9,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A28ZB4ZB13BWAI,A3GOI327COFGY5,-0.11393674696379533
Wikipedia,629959,fine&#44 but it took me no more than a couple of seconds to find a source. why couldn't you do it instead of removing the content?,9,5,9,9,6,A2VMJFBCB921NI,A2C7SCWZI379A9,A1RT9SQ9D9DLOV,A1Y3Z92RE62NPS,A2WZQ92N4809N1,-1.7617599666505968
Wikipedia,625921,i would advise against creating seperate articles for individual characters and stick to the list. is this what you'd expect a typical encyclopedia to be covering?,17,5,17,17,13,A2UFD1I8ZO1V4G,A6YO9886DY2SC,AO5E3LWBYM72K,ARYGQ46IMW8AU,A1Y3Z92RE62NPS,-0.027541785267871322
Wikipedia,629953,hi there. on a tangential note&#44 would you happen to be &lt;person&gt;?,16,17,17,15,17,AO5E3LWBYM72K,A3MN5VOZFQPNZF,A1E0EK09CA5OIO,A1F4D2PZ7NNWTL,AZOAW8JH5HJJK,0.64627997038649199
Wikipedia,524207,do we need to go that far? why not remove the info and lock the article for a while to prevent immediate reinsertion like what happened to &lt;url&gt;?,9,19,18,13,17,A233ONYNWKDIYF,AO5E3LWBYM72K,A3LXBP8T6JMY9B,A204JAK7QRDWVM,A1KC138MX47DXA,0.049620214917331054
Wikipedia,513734,hi&#44 thanks for moving three of the brussels municipalities. could you move &lt;url&gt; to &lt;url&gt; as well?,21,21,21,21,21,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,APDWVWS2HMSFD,A28TXBSZPWMEU9,A2CE0KVP4A8J8K,1.5387902174268742
Wikipedia,420628,i'd definitely consider 1 month's semi as an alternative&#44 but with no recent history of protection i'd be reluctant to go beyond that. so... is pc13-months ok&#44 or would semi1-month be better?,13,13,15,17,9,A233ONYNWKDIYF,A1QV3X9YMQQ3OQ,AZ1RJVNOZFIWV,A1JK9DYKWYZZEK,A3OW54MEVDKXJL,-0.33839624191362361
Wikipedia,522556,&lt;url&gt; has a discussion (well kinda right now&#44 i'm still waiting for the initiator to actually explain himself) about the fair use strength of images on episode lists (why there and not on &lt;url&gt;'s talk page is beyond me.  care to chime in?,14,16,11,17,6,A1RPVYUPJZGM9Z,A199E33VY97TR,AYG3MF094634L,AO5E3LWBYM72K,A3MN5VOZFQPNZF,-0.30078583785513846
Wikipedia,88153,great job. any chance of a full date of death for him?,21,19,16,9,17,A1R4VG71V6XECZ,A2WKPCZU4U110T,AYG3MF094634L,A26NYABOD7YBW8,A13CO3B2BRXQLZ,0.51070335937649192
Wikipedia,223328,re your vote on motion 1&#44 i don't currently have a mafia&#44 to the best of my knowledge&mdash&#58but maybe it's not a bad idea. shall i post a sign-up sheet?,17,10,13,19,17,A2UFD1I8ZO1V4G,AO5E3LWBYM72K,A2MWGIVIKOXWYM,A1GK3MPU2HL0C8,A1F4D2PZ7NNWTL,0.23466223602867831
Wikipedia,565445,anytime. how do you like this closer crop?,14,18,25,20,21,A2WKPCZU4U110T,A22SZHZTF72TRM,A3E157ZN8XPUKJ,AC25X12LNYY6Y,A3L8MJ1C4OEDGV,0.75154825594654617
Wikipedia,286300,how come you removed dobby as an omitted character? where does he appear?,13,9,7,13,15,A2UFD1I8ZO1V4G,AAZKHFKG1B8VQ,A21753FQKCM5DQ,A2LQ33BQ8G259D,A1F4D2PZ7NNWTL,-0.59805099131244321
Wikipedia,192776,on a different subject&#44 does this article pass &lt;url&gt; andor &lt;url&gt;? could it be linked from &lt;url&gt; as the next album?,13,17,14,14,13,AISPSIJ54U4SC,AE3D6SE2D8UPQ,AYG3MF094634L,A1E0EK09CA5OIO,AZOAW8JH5HJJK,0.067901382368333235
Wikipedia,244240,i'll be touch and go for a few days&#44 but hopefully i will have a stable connection again. in the mean time&#44 i think there are a few things i need to get caught up on&#44 yes?,13,17,13,13,13,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,AIPK94CUWL45W,-0.15766486530496585
Wikipedia,4026,my question is &#34why?&#34 i am doing all the citations correctly and this still appears often. can anyone tell me what i'm doing wrong?,16,13,14,17,9,21,15,21,9,19,A049499332VKQ31EB7MV5,A2VMJFBCB921NI,A1T5YMBH35PDBX,AO3XB5I5QNNUI,A2C7SCWZI379A9,A1RT9SQ9D9DLOV,A3SQ6ORWDN5BGZ,A1Y3Z92RE62NPS,AMSWIR4J9XEIJ,A2WZQ92N4809N1,0.33445676929716461
Wikipedia,165283,i see you have been creating lots of articles on bus stations on the &lt;url&gt;. considering how little information there is (and is likely to be) for these stations&#44 would it not be better to have them all on one article?,14,15,13,13,10,AS8T4IKYL4V7F,AMJAP6BGF5LVM,A302M81U0HM7RJ,A872FSFU7WV6W,A2WZQ92N4809N1,-0.5403605735762399
Wikipedia,135035,i actually posted my comments a couple minutes ago.  do you think that explanation works&#44 or do you think it's a good idea i elaborate further?,17,17,15,16,18,AISPSIJ54U4SC,A1QV3X9YMQQ3OQ,AC25X12LNYY6Y,AZOAW8JH5HJJK,AEYHIQUDWJ3KV,0.6100308105883776
Wikipedia,625272,&#34provocations&#34? how is it provoking to suggest to an american-expat that calling people in taiwan &#34taiwanese&#34 is not controversial?,13,9,12,8,9,A2UFD1I8ZO1V4G,A2YFPO0N4GIS25,AYG3MF094634L,A38WUWONC7EXTO,A15DM9BMKZZJQ6,-1.0486736038863445
Wikipedia,629394,in the catalan wikipedia we have more than 60 wrong pages that we want to delete but nobody can do it. where i have to request the permition?,21,12,13,5,14,AO5E3LWBYM72K,AC25X12LNYY6Y,AD1IH74UX9IAI,A38N58BSMTA0BE,AZOAW8JH5HJJK,-0.16017993923174773
Wikipedia,629397,i still can't remember how i got into this.  i remember there was an argument on the gamecube page but then there was nothing for a week or two....it hasn't been that long has it?,17,14,18,21,17,A1R4VG71V6XECZ,A2WKPCZU4U110T,A1BJTTNDDFZ3ZP,A3E157ZN8XPUKJ,A1RT9SQ9D9DLOV,0.32021491662342383
Wikipedia,486339,ok you're right- i guess ips can't do it. i believe they're all fixed now&#44 right?,16,18,16,17,18,A2WKPCZU4U110T,AZ1RJVNOZFIWV,AVHARSCRX7M9E,A2ULMYRKQMNNFG,A3E11SHVDD48Z8,0.485657556075554
Wikipedia,594350,since i have no purpose i don't need to use wikipedia&#44 so can you change my username to &lt;url&gt; (&lt;url&gt;)???,13,21,10,5,9,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A2AMGE57IJVSHF,A3U7P73AIQVS9S,-0.28822430221388751
Wikipedia,55589,what are your views on &lt;url&gt;? and how can you provide a source for a signature?,16,14,18,16,8,A2WKPCZU4U110T,AYG3MF094634L,AC25X12LNYY6Y,A2MWGIVIKOXWYM,A3BM05OXSUCJII,0.20381667519966365
Wikipedia,153974,hi&#44 you recently edited that the independence hall was once the tallest building in philadelphia on the &lt;url&gt; article.  do you have any source that supports this?,13,17,13,13,15,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A29B522D0BX6HN,AIPK94CUWL45W,0.10817072003952892
Wikipedia,120056,seriously? seriously?,5,5,5,8,1,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A1T5YMBH35PDBX,ASMS4TMF7H5CR,-2.2114529446359215
Wikipedia,629399,yep&#44 she told me.  how are you doing?,17,21,17,16,15,AE3D6SE2D8UPQ,A6YO9886DY2SC,ARYGQ46IMW8AU,A3EJ5TT2ZGBIDA,A3L8MJ1C4OEDGV,0.56436998905482394
Wikipedia,51606,&lt;url&gt; and &lt;url&gt; seem to be two articles on the same subject.  what's the point of having separate articles?,9,1,11,5,1,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A2AMGE57IJVSHF,A3U7P73AIQVS9S,-1.3926755087265863
Wikipedia,98462,thanks ! ...wouldn't you know my first award would be for being a smart ass ?,17,17,9,9,19,A2UFD1I8ZO1V4G,ARYGQ46IMW8AU,A3H7G3TQXAYGYD,A3EJ5TT2ZGBIDA,A1F4D2PZ7NNWTL,0.17298803451129352
Wikipedia,507179,you may not remember doing this but&#44 you erased a page entitled&#44 earl newton.  why did you do it?,9,13,9,17,9,A233ONYNWKDIYF,APDWVWS2HMSFD,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A3IHLWMZNBLUR4,-0.60645183155893734
Wikipedia,106353,then why is the article for the monastery in lhasa as &#34ganden&#34 instead of &#34gandan&#34? do both the monasteries have the same name?,18,13,17,14,17,ANGX5PAAYGL9P,ANMGOZ451W9ZN,AZ1RJVNOZFIWV,A1KC138MX47DXA,A1F4D2PZ7NNWTL,0.12383961911149348
Wikipedia,119992,i am not sure what are rules about ga in en.wiki but for me &lt;url&gt; is really outdated and it shouldn&#96t have ga sign. what you think?,17,17,13,13,13,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A3GOI327COFGY5,0.17513776359241923
Wikipedia,440978,in terms of suitability for an article&#44 as i understand it&#44 merrill's &#34claim to notice&#34 is due to the company (work done by som&#44 size of som&#44 etc)&#44 and also because of the important changes he made to that company. is that roughly correct?,13,19,17,18,21,A233ONYNWKDIYF,A34A6MSJTD9A4L,A2UFD1I8ZO1V4G,A3LXBP8T6JMY9B,A1Y3Z92RE62NPS,0.80393414456616819
Wikipedia,335962,i can't find a notice on the source website saying that this image is under a creavtive commons lisence. do you have email corespondance or something?,9,9,13,14,21,A233ONYNWKDIYF,A1BJTTNDDFZ3ZP,ARYGQ46IMW8AU,AC25X12LNYY6Y,A2BKPNKU3EG41Z,-0.19438886279921047
Wikipedia,373210,according to &lt;url&gt;&#44 your &#34ban&#34 is not specifically linked to any amount of time&#44 but rather your effort and results. that said&#44 what exactly do you mean by &#34stalked&#34?,17,11,17,9,8,AE3D6SE2D8UPQ,A22SZHZTF72TRM,A3CA5S8GR8TZ1U,A1F4D2PZ7NNWTL,AEYHIQUDWJ3KV,-0.39549658587247777
Wikipedia,601735,interrobang has asked me if i would also help mentor you when he is not around. i said that i would gladly help out if it was ok with you?,21,21,24,13,13,A233ONYNWKDIYF,A34A6MSJTD9A4L,AO5E3LWBYM72K,AQWC8BPA9JB7T,A37ADCYLCSB5O2,0.72544206618708873
Wikipedia,437991,i'd like not to receive any notices from this bot on my talk page. is there a way to do this?,17,9,13,21,17,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A3S5L3I8O3Q2G,AD317NO9623GZ,A3IHLWMZNBLUR4,0.2789208745964033
Wikipedia,393977,ok. thank you for clarifying. could you be more specific as to what you are specifying as \&#34the claim\&#34 so that i may find relevant information to refute?,21,13,21,25,19,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,AIPK94CUWL45W,1.4361068411938727
Wikipedia,616600,gah! what just happned?,7,13,13,13,9,A34A6MSJTD9A4L,A2YFPO0N4GIS25,A204JAK7QRDWVM,A1KC138MX47DXA,A13CO3B2BRXQLZ,-0.7229340584153553
Wikipedia,261450,thanks for the ce's on attachment therapy. are you kindly undertaking the second opinion?,9,21,21,17,17,A6YO9886DY2SC,A1T546143DSJDI,A3CFNUD7VR2E1E,A2LQ33BQ8G259D,A2UBXHCHM2I6IL,0.71046470182877375
Wikipedia,247684,you are removing the film poster s images from the kansas city film critics circle awards articles and the academy awards.  why?,9,13,9,13,1,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A3IHLWMZNBLUR4,-0.84188607364827706
Wikipedia,25445,i also have problems with a lot of the other recategorisation you have done to these articles&#44 but i won't revert any more until i hear from you.  taking &lt;url&gt; as an example: why have you removed it from &lt;url&gt; when it clearly is a linear filter&#58 why remove it from &lt;url&gt; when it forms part of image parameter theory&#58 why does an article which discusses electronic designs not belong in &lt;url&gt;&#58 why remove it from &lt;url&gt; when&#44 obviously&#44 it is a term?,17,7,9,9,13,A2ZABRSFZKUOKV,A3HZVDLYFUZ7KE,AC25X12LNYY6Y,A22CF8BF9YQND7,A13CO3B2BRXQLZ,-0.45648746130408685
Wikipedia,467055,you recently edited this page. it is my view that this page is just a corporate marketing listing&#44 there are several hundred companies that do the same job yet are not listed in wikipedia - do you not think that this is advertorial?,15,6,12,10,11,AO5E3LWBYM72K,A3MN5VOZFQPNZF,A1E0EK09CA5OIO,A1F4D2PZ7NNWTL,AZOAW8JH5HJJK,-0.64357200710479257
Wikipedia,240036,is this something that is needed&#44 even though most of the links are still alive? is there a wp: page describing this and how to do it?,13,13,13,13,17,A233ONYNWKDIYF,APDWVWS2HMSFD,A3GOI327COFGY5,A29B522D0BX6HN,A3IHLWMZNBLUR4,-0.090897284344381393
Wikipedia,130240,you've violated &lt;url&gt; on &lt;url&gt;&#44 with 2 reverts in half an hour. would you like to revert yourself to avoid being blocked again?,13,13,13,15,1,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A3IHLWMZNBLUR4,-0.57262316367323718
Wikipedia,379688,i have the picture (3d) model of a chemical compound made with accelrys&#44 but i don't have photoshop. what can i do?,17,17,13,13,13,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A26YKYQIA3GX8B,A2QH1BQA6GR48O,A28ZB4ZB13BWAI,0.23778719860945857
Wikipedia,623417,hey&#44 i see you've been contributing! time to lose the &#34leaving wikipedia&#34 box?,5,20,17,19,16,A1486XFUE4FA27,A2WKPCZU4U110T,A2UFD1I8ZO1V4G,AC25X12LNYY6Y,A872FSFU7WV6W,0.42466222688180749
Wikipedia,565816,never mind&#44 got it. is the stereochemistry known?,13,8,9,11,13,AYG3MF094634L,AVHARSCRX7M9E,AHH34KPTA2LSS,A38WUWONC7EXTO,A2JKFTV0JXWMI6,-0.61701506961084407
Wikipedia,581772,the review has been up there for something like six weeks&#44 i notice. think you'll be able to take care of those last couple of things?,9,5,13,5,9,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A3S5L3I8O3Q2G,A3IHLWMZNBLUR4,ANS7S6PUWTLF7,-1.0941569363837627
Wikipedia,627133,coi? what coi do you think i have?,13,1,3,13,13,A16PRU8T6NZLN5,A1BJTTNDDFZ3ZP,AVHARSCRX7M9E,AQWC8BPA9JB7T,A1KC138MX47DXA,-0.9597261183164999
Wikipedia,167602,i seeu2014yes&#44 those can easily be changed back. would you rather i start a fresh discussion about these?,15,15,15,14,13,AYG3MF094634L,A1F4D2PZ7NNWTL,A3G7QIYLFOXFG7,AZOAW8JH5HJJK,A1Y3Z92RE62NPS,0.22575212972605097
Wikipedia,622946,you may need to enable your own setting to allow e-mail too&#58 i'm not sure. if so&#44 maybe you can turn it on temporarily&#44 so that you can send me one e-mail?,21,21,15,17,16,A233ONYNWKDIYF,A2X9AEDAHF7O7S,AYG3MF094634L,A1F4D2PZ7NNWTL,AZOAW8JH5HJJK,0.89594243534882489
Wikipedia,128270,can you give me a general description of &lt;url&gt;? does it mention anything about making movie?,17,13,13,13,15,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,0.02513179906328173
Wikipedia,85321,just saw your post to gonzo.  would you rather i withdrew the flc then?,17,13,17,9,13,A2UFD1I8ZO1V4G,A1QV3X9YMQQ3OQ,A1BJTTNDDFZ3ZP,AVHARSCRX7M9E,A13CO3B2BRXQLZ,0.11759563245592368
Wikipedia,231061,when i look at the stats on the &lt;url&gt; wiki page i only see 55 major appearances from 1972 onwards. i'm going by the assumption that page is correct?,13,17,15,9,9,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2QH1BQA6GR48O,A2CE0KVP4A8J8K,AI4WWBB2PNCKH,-0.16113102485875416
Wikipedia,623384,this is helpful for automatized transfer scripts. by the way&#44 did i get the location tag right on &lt;url&gt; :-) ?,20,20,19,19,22,A2WKPCZU4U110T,AZ1RJVNOZFIWV,AVHARSCRX7M9E,A2ULMYRKQMNNFG,A3E11SHVDD48Z8,1.1060530217404678
Wikipedia,328466,...cause i feel like a petulant kid&#44 posting it. but: &#34we have three volunteers: awadewit&#44 mike christie and wrad.&#34 given that i&#44 you know&#44 proposed the countries idea&#44 wasn't it obvious that i was volunteering?,9,13,21,7,5,AVV4KDLSDAS9E,A2VMJFBCB921NI,AJSVV9WS1SF2I,A1F4D2PZ7NNWTL,A1Y3Z92RE62NPS,-0.81419417793310456
Wikipedia,389209,i thought i had explained it pretty clearly.  what part did you disagree with?,9,17,14,13,13,A233ONYNWKDIYF,A34A6MSJTD9A4L,AO5E3LWBYM72K,AQWC8BPA9JB7T,A37ADCYLCSB5O2,-0.34067067406053086
Wikipedia,618997,ok&#44 we are talking about two remaining articles here. the categories serve absolutely no categorization purpose&#44 so why are you being stubborn about it?,9,4,3,9,17,A2UFD1I8ZO1V4G,A22SZHZTF72TRM,A6YO9886DY2SC,AYG3MF094634L,A1BJTTNDDFZ3ZP,-1.6678247056945452
